Pytanie;Poziom trudności;Ground truth - przepisy
Czym jest gospodarstwo rolne?;1;art. 55 3
Jaka jest definicja nieruchomości?;1;art. 46
Komu przysługuje własność stanowiąca mienie państwowe?;1;art. 44 1
Kim jest osoba ubezwłasnowolniona?;1;art. 13 i art. 16
Co wchodzi w skład przedsiębiorstwa?;1;art. 55 1
Jakie skutki wywołuje czynność prawna?;1;art. 56
Jak mo?e by? wyrażone oświadczenie woli?;1;art. 60
Kiedy czynność prawna jest nieważna?;1;art. 73 $ 2
Czym jest prokura?;1;art. 109 ^ 1
Kiedy kończy się termin oznaczony w dniach?;1;art. 111
Co jest potrzebne do ważności czynności dokonanej przez ubezwłasnowolnionego?;2;art. 15, art. 16, art. 17
Jaka forma pełnomocnictwa powinna być zawarta do zakupienia nieruchmości?;2;art. 99, art. 157
Co je?li nie zawrze się umowy o przeniesienie własności nieuchomości w formie aktu notarialnego?;2;art. 157,  art. 73$2
Czy osoba małoletnia po zawarciu małżeństwa ma pełną zdolność do czynności prawnych?;2;art. 10. art. 11
Ktoś zaginął po katastrofie samolotu, która zdarzyła się 23 lipca 2012 roku,  kiedy będzie można domniemywać, że zaginiony zmarł?;2;art. 29, 30, 31
Co przerywa bieg zasiedzenia?;2;art. 175, art. 442
Kiedy wygasa służebność przesyłu?;2;art. 293, art. 305^4
Czy można żądać zadośćuczynienia/renty za pozbawienie wolności lub gwałt?;2;art. 444, art. 445 $ 1
W jakiej formie powinno być dokonane przeniesinie użytkowania wieczystego?;2;art.233, art. 157
Czy konsument może odstąpić? od umowy przed terminem jeśli sprzedający oświadczy mu, że świadczenia nie spełni?;2;art. 492, art 543
